Version name,File name,Size,NR,NAuth,LOCTouched,LOCAdded,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,bugginess
1.1.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificExceptionBase.java,41,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/Encoder.java,275,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/util/ByteBufferInputStream.java,87,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/ParsingDecoder.java,75,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificFixed.java,29,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/AvroRemoteException.java,41,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolReflectMeta.java,45,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/generic/GenericResponder.java,55,0,0,0,0,0,0,0,0,0,YES
1.2.0,src/java/org/apache/avro/util/WeakIdentityHashMap.java,0,2,1,338,169,169,85,0,169,0,NO
1.2.0,lang/java/avro/src/main/java/org/apache/avro/AvroRuntimeException.java,29,2,1,3,3,3,2,3,3,2,YES
1.2.0,lang/java/avro/src/main/java/org/apache/avro/AvroTypeException.java,29,2,1,3,3,3,2,3,3,2,YES
1.2.0,lang/java/avro/src/main/java/org/apache/avro/Protocol.java,378,6,2,55,45,27,8,33,23,6,YES
1.2.0,lang/java/avro/src/main/java/org/apache/avro/Schema.java,1076,19,3,710,511,196,27,310,145,16,YES
1.2.0,lang/java/avro/src/main/java/org/apache/avro/SchemaParseException.java,26,1,1,0,0,0,0,0,0,0,YES
1.2.0,lang/java/avro/src/main/java/org/apache/avro/file/Codec.java,50,4,2,80,65,39,16,50,39,13,YES
