Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Classifier,Precision,Recall,AUC,Kappa
AVRO,2,5.16%,65.37%,99.36%,No sampling,No Feature Selection,Sensitive Learning,141.0,0.0,1.0,15.0,IBk,1.0,0.904,0.926,0.107,
AVRO,2,5.16%,65.37%,99.36%,No sampling,Best first,No cost sensitive,124.0,0.0,1.0,32.0,RandomForest,1.0,0.795,0.974,0.047,
AVRO,2,5.16%,65.37%,99.36%,No sampling,Best first,No cost sensitive,46.0,0.0,1.0,110.0,NaiveBayes,1.0,0.295,0.487,0.005,
AVRO,2,5.16%,65.37%,99.36%,No sampling,Best first,No cost sensitive,100.0,0.0,1.0,56.0,IBk,1.0,0.641,0.795,0.022,
AVRO,2,5.16%,65.37%,99.36%,No sampling,Best first,Sensitive Threshold,141.0,0.0,1.0,15.0,RandomForest,1.0,0.904,0.952,0.107,
AVRO,2,5.16%,65.37%,99.36%,No sampling,Best first,Sensitive Threshold,97.0,1.0,0.0,59.0,NaiveBayes,0.99,0.622,0.311,-0.013,
AVRO,2,5.16%,65.37%,99.36%,No sampling,Best first,Sensitive Threshold,101.0,0.0,1.0,55.0,IBk,1.0,0.647,0.824,0.023,
AVRO,2,5.16%,65.37%,99.36%,No sampling,Best first,Sensitive Learning,143.0,0.0,1.0,13.0,RandomForest,1.0,0.917,0.994,0.123,
AVRO,2,5.16%,65.37%,99.36%,No sampling,Best first,Sensitive Learning,92.0,1.0,0.0,64.0,NaiveBayes,0.989,0.59,0.487,-0.013,
AVRO,2,5.16%,65.37%,99.36%,No sampling,Best first,Sensitive Learning,101.0,0.0,1.0,55.0,IBk,1.0,0.647,0.795,0.023,
AVRO,2,5.16%,65.37%,99.36%,oversampling,No Feature Selection,No cost sensitive,108.0,0.0,1.0,48.0,RandomForest,1.0,0.692,1.0,0.028,
AVRO,2,5.16%,65.37%,99.36%,oversampling,No Feature Selection,No cost sensitive,59.0,0.0,1.0,97.0,NaiveBayes,1.0,0.378,0.596,0.008,
AVRO,2,5.16%,65.37%,99.36%,oversampling,No Feature Selection,No cost sensitive,140.0,0.0,1.0,16.0,IBk,1.0,0.897,0.994,0.1,
AVRO,2,5.16%,65.37%,99.36%,oversampling,No Feature Selection,Sensitive Threshold,155.0,0.0,1.0,1.0,RandomForest,1.0,0.994,0.997,0.664,
AVRO,2,5.16%,65.37%,99.36%,oversampling,No Feature Selection,Sensitive Threshold,76.0,0.0,1.0,80.0,NaiveBayes,1.0,0.487,0.744,0.012,
AVRO,2,5.16%,65.37%,99.36%,oversampling,No Feature Selection,Sensitive Threshold,140.0,0.0,1.0,16.0,IBk,1.0,0.897,0.949,0.1,
AVRO,2,5.16%,65.37%,99.36%,oversampling,No Feature Selection,Sensitive Learning,153.0,0.0,1.0,3.0,RandomForest,1.0,0.981,1.0,0.394,
AVRO,2,5.16%,65.37%,99.36%,oversampling,No Feature Selection,Sensitive Learning,76.0,0.0,1.0,80.0,NaiveBayes,1.0,0.487,0.596,0.012,
AVRO,2,5.16%,65.37%,99.36%,oversampling,No Feature Selection,Sensitive Learning,140.0,0.0,1.0,16.0,IBk,1.0,0.897,0.994,0.1,
AVRO,2,5.16%,65.37%,99.36%,oversampling,Best first,No cost sensitive,107.0,0.0,1.0,49.0,RandomForest,1.0,0.686,1.0,0.027,
AVRO,2,5.16%,65.37%,99.36%,oversampling,Best first,No cost sensitive,70.0,0.0,1.0,86.0,NaiveBayes,1.0,0.449,0.853,0.01,
AVRO,2,5.16%,65.37%,99.36%,oversampling,Best first,No cost sensitive,118.0,0.0,1.0,38.0,IBk,1.0,0.756,0.936,0.038,
AVRO,2,5.16%,65.37%,99.36%,oversampling,Best first,Sensitive Threshold,147.0,0.0,1.0,9.0,RandomForest,1.0,0.942,0.971,0.172,
